127.0.0.1 - - [01/Feb/2021:22:10:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:03 +0530] "GET /JavaDemo/ HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:03 +0530] "GET /JavaDemo/js/extjs/ext-all.js HTTP/1.1" 200 2080453
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:03 +0530] "GET /JavaDemo/js/extjs/ext-all-6.0.2.js HTTP/1.1" 200 2113218
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:03 +0530] "GET /JavaDemo/js/extjs/ext-all-debug.js HTTP/1.1" 200 9199663
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:03 +0530] "GET /JavaDemo/js/extjs/ext-all-debug-6.0.2.js HTTP/1.1" 200 9359281
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:03 +0530] "GET /JavaDemo/js/js/EmpList.js HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:10 +0530] "GET /JavaDemo/ HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:10 +0530] "GET /JavaDemo/js/extjs/ext-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:10 +0530] "GET /JavaDemo/js/extjs/ext-all-6.0.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:10 +0530] "GET /JavaDemo/js/extjs/ext-all-debug.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:10 +0530] "GET /JavaDemo/js/extjs/ext-all-debug-6.0.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:11 +0530] "GET /JavaDemo/js/js/EmpList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:54 +0530] "GET /JavaDemo/ HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:54 +0530] "GET /JavaDemo/js/extjs/ext-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:54 +0530] "GET /JavaDemo/js/extjs/ext-all-6.0.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:54 +0530] "GET /JavaDemo/js/extjs/ext-all-debug.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:55 +0530] "GET /JavaDemo/js/extjs/ext-all-debug-6.0.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:10:55 +0530] "GET /JavaDemo/js/js/EmpList.js HTTP/1.1" 200 2681
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:10 +0530] "GET /JavaDemo/ HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:10 +0530] "GET /JavaDemo/js/extjs/ext-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:10 +0530] "GET /JavaDemo/js/extjs/ext-all-6.0.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:10 +0530] "GET /JavaDemo/js/extjs/ext-all-debug.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:11 +0530] "GET /JavaDemo/js/extjs/ext-all-debug-6.0.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:11 +0530] "GET /JavaDemo/js/js/EmpList.js HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:26 +0530] "GET /JavaDemo/ HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:26 +0530] "GET /JavaDemo/js/extjs/ext-all.js HTTP/1.1" 200 2080453
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:26 +0530] "GET /JavaDemo/js/extjs/ext-all-debug-6.0.2.js HTTP/1.1" 200 9359281
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:26 +0530] "GET /JavaDemo/js/extjs/ext-all-6.0.2.js HTTP/1.1" 200 2113218
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:26 +0530] "GET /JavaDemo/js/js/EmpList.js HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:26 +0530] "GET /JavaDemo/js/extjs/ext-all-debug.js HTTP/1.1" 200 9199663
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:30 +0530] "GET /JavaDemo/ HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:30 +0530] "GET /JavaDemo/js/js/EmpList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:33 +0530] "GET /JavaDemo/ HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [01/Feb/2021:22:13:33 +0530] "GET /JavaDemo/js/js/EmpList.js HTTP/1.1" 304 -
